item_kind,item_id,stratum,judge,judged_at,is_real_news_about_real_company,is_right_company,is_category_correct,precision_ok_for_source_floor,venture_band,baseline_fields_ok,resolution_verified,confidence_decile,registry_linkage_ok,fact_type_correct,amount_within_20pct_or_estimated,investors_real_and_attributed,date_within_14d,reject_reason_coherent,summary_fully_faithful,cluster_pure,cluster_split_missed,representative_best_tier,listgen_precision_at_limit,interpreted_filters_match_intent,notes
article,art_1K21EN0M1043201APHEZS2M1HQ,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_3931EN0M10AM9XSR3JV7YNZM9E,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_5N21EN0M109C9T6C25AFWAHEXH,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_8B31EN0M104Y87DAHEBE9PMGY9,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_A531EN0M10R0JK2Q5ANH329Z3S,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_CN21EN0M10SKS0B08SRNTR8036,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_EK21EN0M10F6ZPZ9QP852VA6WT,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_HG21EN0M10AARBY7DR9CM3CZ20,tier:?|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_K431EN0M10R1YN900K7HBK3EAH,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_NP21EN0M10S820JKMZRQ4VS6WK,tier:?|nw:medium,,,,,,,,,,,,,,,,,,,,,,,
article,art_QW21EN0M10JWMZ54GG64HKQSGQ,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_T031EN0M10AE95Q096MV5PFXNZ,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
article,art_WP21EN0M10JQRPMKCPAYC6C7XK,tier:?|nw:high,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEMVM4H1GVH53XN86VGN5F,autocreate|d4,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0KKDZ5QJ784G862S79X17A9,autocreate|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NF7MKTAR7D4ADNKMDGT1K8,formd|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0M2KVFPY0ZAT0MAFJEVPFWN,import:edgar|d9,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0KJG7NXNSEWCSNX56EP9BH5,import:seed|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEJCNQY5KRKXK2KE4TWDPJ,launch:hn|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_0AHMDN0M103RZ3ZKKKWRJH7RF9,launchmonitor|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_00JMDN0M10EGHB0BJ9X3V3XC3C,launchmonitor|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NHDK6NNTCY7SG453QQ87X5,xmonitor|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEMVSQ6R33P0NGNWXDHJK0,autocreate|d4,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0KNAH0KYSPDBP1HDWP5DSNM,autocreate|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NF7MM6ANQV9FTCWPERTFYE,formd|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0M2KW3K94VVE9M9B3VTS79F,import:edgar|d9,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0KJG7PQ32JMHG4DGF9681DQ,import:seed|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEJCPJW55Y1JS89RPJRMY5,launch:hn|d5,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_0KJMDN0M109ACFHBCDY7KJ0ERS,launchmonitor|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_02JMDN0M10F1A46TKR0QBFV06C,launchmonitor|d7,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NHDK7P9A0XNSBG5YD8MP4D,xmonitor|d6,,,,,,,,,,,,,,,,,,,,,,,
entity,ent_01M0NEMWW7YGK43QCM7FA43F65,autocreate|d4,,,,,,,,,,,,,,,,,,,,,,,
